Date,Closing_Price
2021-03-29 00:00:00,102.2895
2021-03-30 00:00:00,102.3235
2021-03-31 00:00:00,103.126
2021-04-01 00:00:00,106.489
2021-04-05 00:00:00,110.948
2021-04-06 00:00:00,110.463
2021-04-07 00:00:00,111.9515
2021-04-08 00:00:00,112.5215
2021-04-09 00:00:00,113.5335
2021-04-12 00:00:00,112.231
2021-04-13 00:00:00,112.7215
2021-04-14 00:00:00,112.0955
2021-04-15 00:00:00,114.2625
2021-04-16 00:00:00,114.1375
2021-04-19 00:00:00,114.488
2021-04-20 00:00:00,113.9505
2021-04-21 00:00:00,113.9175
2021-04-22 00:00:00,112.626
2021-04-23 00:00:00,114.9965
2021-04-26 00:00:00,115.4965
2021-04-27 00:00:00,114.549
2021-04-28 00:00:00,117.952
2021-04-29 00:00:00,119.638
2021-04-30 00:00:00,117.675
2021-05-03 00:00:00,117.154
2021-05-04 00:00:00,115.3415
2021-05-05 00:00:00,115.7385
2021-05-06 00:00:00,116.8675
2021-05-07 00:00:00,117.5965
2021-05-10 00:00:00,114.5875
2021-05-11 00:00:00,113.503
2021-05-12 00:00:00,110.0125
2021-05-13 00:00:00,111.452
2021-05-14 00:00:00,113.919
2021-05-17 00:00:00,114.446
2021-05-18 00:00:00,113.1235
2021-05-19 00:00:00,113.575
2021-05-20 00:00:00,115.3475
2021-05-21 00:00:00,114.7065
2021-05-24 00:00:00,118.052
2021-05-25 00:00:00,118.1435
2021-05-26 00:00:00,119.0155
2021-05-27 00:00:00,118.134
2021-05-28 00:00:00,117.8425
2021-06-01 00:00:00,119.059
2021-06-02 00:00:00,118.5295
2021-06-03 00:00:00,117.379
2021-06-04 00:00:00,119.6785
2021-06-07 00:00:00,120.115
2021-06-08 00:00:00,119.922
2021-06-09 00:00:00,120.397
2021-06-10 00:00:00,121.7565
2021-06-11 00:00:00,121.51
2021-06-14 00:00:00,122.4455
2021-06-15 00:00:00,121.4195
2021-06-16 00:00:00,120.7725
2021-06-17 00:00:00,121.7435
2021-06-18 00:00:00,120.111
2021-06-21 00:00:00,121.8125
2021-06-22 00:00:00,122.3305
2021-06-23 00:00:00,122.127
2021-06-24 00:00:00,122.5
2021-06-25 00:00:00,122.5085
2021-06-28 00:00:00,122.536
2021-06-29 00:00:00,122.2725
2021-06-30 00:00:00,122.0895
2021-07-01 00:00:00,122.4445
2021-07-02 00:00:00,125.2575
2021-07-06 00:00:00,126.19
2021-07-07 00:00:00,126.474
2021-07-08 00:00:00,125.044
2021-07-09 00:00:00,125.5185
2021-07-12 00:00:00,126.9755
2021-07-13 00:00:00,127.3415
2021-07-14 00:00:00,128.237
2021-07-15 00:00:00,127.005
2021-07-16 00:00:00,126.97
2021-07-19 00:00:00,124.578
2021-07-20 00:00:00,126.2095
2021-07-21 00:00:00,127.549
2021-07-22 00:00:00,128.4215
2021-07-23 00:00:00,133.015
2021-07-26 00:00:00,134.035
2021-07-27 00:00:00,131.9
2021-07-28 00:00:00,136.094
2021-07-29 00:00:00,135.7775
2021-07-30 00:00:00,134.7265
2021-08-02 00:00:00,134.8545
2021-08-03 00:00:00,135.63
2021-08-04 00:00:00,135.1255
2021-08-05 00:00:00,136.2515
2021-08-06 00:00:00,135.7385
2021-08-09 00:00:00,136.913
2021-08-10 00:00:00,136.807
2021-08-11 00:00:00,136.279
2021-08-12 00:00:00,137.194
2021-08-13 00:00:00,137.7275
2021-08-16 00:00:00,138.3095
2021-08-17 00:00:00,136.6615
2021-08-18 00:00:00,135.449
2021-08-19 00:00:00,135.68
2021-08-20 00:00:00,137.4295
2021-08-23 00:00:00,140.0415
2021-08-24 00:00:00,141.2615
2021-08-25 00:00:00,142.079
2021-08-26 00:00:00,141.4405
2021-08-27 00:00:00,144.004
2021-08-30 00:00:00,144.5905
2021-08-31 00:00:00,144.6975
2021-09-01 00:00:00,145.2155
2021-09-02 00:00:00,143.287
2021-09-03 00:00:00,143.7395
2021-09-07 00:00:00,144.2805
2021-09-08 00:00:00,143.691
2021-09-09 00:00:00,143.541
2021-09-10 00:00:00,140.876
2021-09-13 00:00:00,142.3325
2021-09-14 00:00:00,142.5445
2021-09-15 00:00:00,144.4295
2021-09-16 00:00:00,143.61
2021-09-17 00:00:00,140.8
2021-09-20 00:00:00,138.7195
2021-09-21 00:00:00,139.033
2021-09-22 00:00:00,140.2835
2021-09-23 00:00:00,141.216
2021-09-24 00:00:00,142.215
2021-09-27 00:00:00,141.072
2021-09-28 00:00:00,135.83
2021-09-29 00:00:00,134.3535
2021-09-30 00:00:00,133.676
2021-10-01 00:00:00,136.543
2021-10-04 00:00:00,133.6595
2021-10-05 00:00:00,136.023
2021-10-06 00:00:00,137.565
2021-10-07 00:00:00,139.225
2021-10-08 00:00:00,139.7855
2021-10-11 00:00:00,138.914
2021-10-12 00:00:00,136.449
