Date,Closing_Price
2021-03-31 00:00:00,45
2021-04-01 00:00:00,45.78
2021-04-05 00:00:00,49.61
2021-04-06 00:00:00,56.23
2021-04-07 00:00:00,58
2021-04-08 00:00:00,56
2021-04-09 00:00:00,53.65
2021-04-12 00:00:00,51.38
2021-04-13 00:00:00,51.35
2021-04-14 00:00:00,48.58
2021-04-15 00:00:00,47.45
2021-04-16 00:00:00,45.98
2021-04-19 00:00:00,42.08
2021-04-20 00:00:00,41
2021-04-21 00:00:00,41.86
2021-04-22 00:00:00,44.16
2021-04-23 00:00:00,46.37
2021-04-26 00:00:00,47.75
2021-04-27 00:00:00,46.64
2021-04-28 00:00:00,45.4
2021-04-29 00:00:00,45.15
2021-04-30 00:00:00,44.7
2021-05-03 00:00:00,46.11
2021-05-04 00:00:00,45.65
2021-05-05 00:00:00,42.01
2021-05-06 00:00:00,38.98
2021-05-07 00:00:00,36.14
2021-05-10 00:00:00,34.8
2021-05-11 00:00:00,40.46
2021-05-12 00:00:00,35.22
2021-05-13 00:00:00,34.3
2021-05-14 00:00:00,38.12
2021-05-17 00:00:00,37.91
2021-05-18 00:00:00,38.5
2021-05-19 00:00:00,38.37
2021-05-20 00:00:00,37.02
2021-05-21 00:00:00,37.53
2021-05-24 00:00:00,37.5
2021-05-25 00:00:00,37.08
2021-05-26 00:00:00,37.98
2021-05-27 00:00:00,38
2021-05-28 00:00:00,38
2021-06-01 00:00:00,38.53
2021-06-02 00:00:00,39.96
2021-06-03 00:00:00,39.6
2021-06-04 00:00:00,39.65
2021-06-07 00:00:00,41.67
2021-06-08 00:00:00,43.36
2021-06-09 00:00:00,43.41
2021-06-10 00:00:00,44.15
2021-06-11 00:00:00,46.95
2021-06-14 00:00:00,42.98
2021-06-15 00:00:00,42.92
2021-06-16 00:00:00,43.41
2021-06-17 00:00:00,43.15
2021-06-18 00:00:00,44.14
2021-06-21 00:00:00,42.87
2021-06-22 00:00:00,42.43
2021-06-23 00:00:00,43.08
2021-06-24 00:00:00,43.96
2021-06-25 00:00:00,42.56
2021-06-28 00:00:00,41.97
2021-06-29 00:00:00,40.74
2021-06-30 00:00:00,39.56
2021-07-01 00:00:00,39.05
2021-07-02 00:00:00,40.07
2021-07-06 00:00:00,40.63
2021-07-07 00:00:00,39.25
2021-07-08 00:00:00,39.3
2021-07-09 00:00:00,40.03
2021-07-12 00:00:00,39.54
2021-07-13 00:00:00,38.88
2021-07-14 00:00:00,37.84
2021-07-15 00:00:00,38.81
2021-07-16 00:00:00,38.14
2021-07-19 00:00:00,38.14
2021-07-20 00:00:00,39.41
2021-07-21 00:00:00,39.22
2021-07-22 00:00:00,40.26
2021-07-23 00:00:00,39.09
2021-07-26 00:00:00,39.08
2021-07-27 00:00:00,38.01
2021-07-28 00:00:00,37.79
2021-07-29 00:00:00,36.22
2021-07-30 00:00:00,35.59
2021-08-02 00:00:00,36.12
2021-08-03 00:00:00,35.68
2021-08-04 00:00:00,43.31
2021-08-05 00:00:00,40.86
2021-08-06 00:00:00,40.05
2021-08-09 00:00:00,39.9
2021-08-10 00:00:00,37.28
2021-08-11 00:00:00,37.71
2021-08-12 00:00:00,38.8
2021-08-13 00:00:00,38.49
2021-08-16 00:00:00,37.89
2021-08-17 00:00:00,37.01
2021-08-18 00:00:00,36.42
2021-08-19 00:00:00,35.45
2021-08-20 00:00:00,36.53
2021-08-23 00:00:00,36.14
2021-08-24 00:00:00,37.65
2021-08-25 00:00:00,37.79
2021-08-26 00:00:00,37.38
2021-08-27 00:00:00,37.68
2021-08-30 00:00:00,38.21
2021-08-31 00:00:00,38.47
2021-09-01 00:00:00,39.04
2021-09-02 00:00:00,39.3
2021-09-03 00:00:00,39.73
2021-09-07 00:00:00,35.86
2021-09-08 00:00:00,35.89
2021-09-09 00:00:00,37.47
2021-09-10 00:00:00,37.59
2021-09-13 00:00:00,37.44
2021-09-14 00:00:00,37.7
2021-09-15 00:00:00,38.01
2021-09-16 00:00:00,37.89
2021-09-17 00:00:00,37.34
2021-09-20 00:00:00,37.11
2021-09-21 00:00:00,37.43
2021-09-22 00:00:00,35.21
2021-09-23 00:00:00,35.28
2021-09-24 00:00:00,34.4
2021-09-27 00:00:00,33.57
2021-09-28 00:00:00,31.37
2021-09-29 00:00:00,30.92
2021-09-30 00:00:00,31.65
2021-10-01 00:00:00,31.95
2021-10-04 00:00:00,30.81
2021-10-05 00:00:00,31.2
2021-10-06 00:00:00,31.03
2021-10-07 00:00:00,31.99
2021-10-08 00:00:00,31.56
2021-10-11 00:00:00,30.49
2021-10-12 00:00:00,31.09
2021-10-13 00:00:00,31.77
2021-10-14 00:00:00,32.56
2021-10-15 00:00:00,33.03
2021-10-18 00:00:00,32.97
2021-10-19 00:00:00,33.15
2021-10-20 00:00:00,33.15
2021-10-21 00:00:00,33.36
2021-10-22 00:00:00,33.63
2021-10-25 00:00:00,33.9
2021-10-26 00:00:00,33.55
2021-10-27 00:00:00,33.9
2021-10-28 00:00:00,35.19
2021-10-29 00:00:00,34.91
2021-11-01 00:00:00,37
2021-11-02 00:00:00,36.03
2021-11-03 00:00:00,32.19
2021-11-04 00:00:00,32.14
2021-11-05 00:00:00,33.42
2021-11-08 00:00:00,33.67
2021-11-09 00:00:00,34.8
2021-11-10 00:00:00,34.41
2021-11-11 00:00:00,34.85
2021-11-12 00:00:00,35.23
2021-11-15 00:00:00,35.74
2021-11-16 00:00:00,36.54
2021-11-17 00:00:00,35.54
