Date,Closing_Price
2021-03-29 00:00:00,513.95
2021-03-30 00:00:00,513.39
2021-03-31 00:00:00,521.66
2021-04-01 00:00:00,539.42
2021-04-05 00:00:00,540.67
2021-04-06 00:00:00,544.53
2021-04-07 00:00:00,546.99
2021-04-08 00:00:00,554.58
2021-04-09 00:00:00,555.31
2021-04-12 00:00:00,552.78
2021-04-13 00:00:00,553.73
2021-04-14 00:00:00,540.02
2021-04-15 00:00:00,549.22
2021-04-16 00:00:00,546.54
2021-04-19 00:00:00,554.44
2021-04-20 00:00:00,549.57
2021-04-21 00:00:00,508.9
2021-04-22 00:00:00,508.78
2021-04-23 00:00:00,505.55
2021-04-26 00:00:00,510.3
2021-04-27 00:00:00,505.55
2021-04-28 00:00:00,506.52
2021-04-29 00:00:00,509
2021-04-30 00:00:00,513.47
2021-05-03 00:00:00,509.11
2021-05-04 00:00:00,503.18
2021-05-05 00:00:00,496.08
2021-05-06 00:00:00,499.55
2021-05-07 00:00:00,503.84
2021-05-10 00:00:00,486.69
2021-05-11 00:00:00,495.08
2021-05-12 00:00:00,484.98
2021-05-13 00:00:00,486.66
2021-05-14 00:00:00,493.37
2021-05-17 00:00:00,488.94
2021-05-18 00:00:00,486.28
2021-05-19 00:00:00,487.7
2021-05-20 00:00:00,501.67
2021-05-21 00:00:00,497.89
2021-05-24 00:00:00,502.9
2021-05-25 00:00:00,501.34
2021-05-26 00:00:00,502.36
2021-05-27 00:00:00,503.86
2021-05-28 00:00:00,502.81
2021-06-01 00:00:00,499.08
2021-06-02 00:00:00,499.24
2021-06-03 00:00:00,489.43
2021-06-04 00:00:00,494.74
2021-06-07 00:00:00,494.66
2021-06-08 00:00:00,492.39
2021-06-09 00:00:00,485.81
2021-06-10 00:00:00,487.27
2021-06-11 00:00:00,488.77
2021-06-14 00:00:00,499.89
2021-06-15 00:00:00,491.9
2021-06-16 00:00:00,492.41
2021-06-17 00:00:00,498.34
2021-06-18 00:00:00,500.77
2021-06-21 00:00:00,497
2021-06-22 00:00:00,508.82
2021-06-23 00:00:00,512.74
2021-06-24 00:00:00,518.06
2021-06-25 00:00:00,527.07
2021-06-28 00:00:00,533.03
2021-06-29 00:00:00,533.5
2021-06-30 00:00:00,528.21
2021-07-01 00:00:00,533.54
2021-07-02 00:00:00,533.98
2021-07-06 00:00:00,541.64
2021-07-07 00:00:00,535.96
2021-07-08 00:00:00,530.76
2021-07-09 00:00:00,535.98
2021-07-12 00:00:00,537.31
2021-07-13 00:00:00,540.68
2021-07-14 00:00:00,547.95
2021-07-15 00:00:00,542.95
2021-07-16 00:00:00,530.31
2021-07-19 00:00:00,532.28
2021-07-20 00:00:00,531.05
2021-07-21 00:00:00,513.63
2021-07-22 00:00:00,511.77
2021-07-23 00:00:00,515.41
2021-07-26 00:00:00,516.49
2021-07-27 00:00:00,518.91
2021-07-28 00:00:00,519.3
2021-07-29 00:00:00,514.25
2021-07-30 00:00:00,517.57
2021-08-02 00:00:00,515.15
2021-08-03 00:00:00,510.82
2021-08-04 00:00:00,517.35
2021-08-05 00:00:00,524.89
2021-08-06 00:00:00,520.55
2021-08-09 00:00:00,519.97
2021-08-10 00:00:00,515.84
2021-08-11 00:00:00,512.4
2021-08-12 00:00:00,510.72
2021-08-13 00:00:00,515.92
2021-08-16 00:00:00,517.92
2021-08-17 00:00:00,518.91
2021-08-18 00:00:00,521.87
2021-08-19 00:00:00,543.71
2021-08-20 00:00:00,546.88
2021-08-23 00:00:00,553.33
2021-08-24 00:00:00,553.41
2021-08-25 00:00:00,547.58
2021-08-26 00:00:00,550.12
